N,A,R,run,ALE_DVLS,ALE_EPLO_Sobol,ALE_EPLO_Seed,ALE_EPLO_Mixed
200,10,40,9,202.070671349698,12.8976274380461,12.8979169742847,12.8977549845624
200,10,40,10,188.913376530063,14.8990619277899,14.6122758847377,14.3817550988774
200,20,30,1,193.170264905225,7.35387563095943,7.35425475378191,7.35435806356081
200,20,30,2,193.227893734508,7.86967062282528,7.86941910352895,7.86954703317393
200,20,30,3,198.580427745598,8.99145636422314,8.97722319548252,8.97662341616353
200,20,30,4,203.457670672151,8.75454332170651,8.75481187904141,8.7545753057814
200,20,30,5,189.2397359639,7.98483047744126,7.98406886663064,7.9846984115481
200,20,30,6,184.114030647067,7.68209666371389,7.68195718213811,7.68213665721702
200,20,30,7,185.327161353758,8.57386784543847,8.5739379630523,8.57383261518949
200,20,30,8,188.70994340639,8.36663823940575,9.09353045946191,8.68791420882361
200,20,30,9,187.401372946153,7.92779519155283,7.92711106418922,7.92763460404252
200,20,30,10,193.420588052397,8.07935704213354,8.07965078246539,8.07959841569781
200,20,40,1,200.80622948093,9.85739643857405,9.85750287852375,9.76371389850238
200,20,40,2,191.97387171473,7.8485708107203,7.84932187099389,7.84933496406921
200,20,40,3,203.320986284213,10.2947903970094,10.2720224201562,10.283862852396
200,20,40,4,186.122008032468,8.67477133000635,8.67393363358051,8.67525209074787
200,20,40,5,187.066270947218,8.36586432377875,8.36602124764087,8.36596147326723
200,20,40,6,190.989690143961,10.7293722491791,10.7287380013832,10.7292291067382
200,20,40,7,185.188716050882,9.53747758584173,9.53688287535792,9.537242670012
200,20,40,8,196.223028426075,7.95818274607167,7.95797355420025,7.9580337022663
200,20,40,9,184.6325828365,10.1143020031986,10.1143893802465,10.1144735143402
200,20,40,10,191.347867173319,9.03815400786834,9.03730535883433,9.03721784369504
