x,y,z,ale
10,10,60,4.41152268091335
20,10,60,4.56559825030407
30,10,60,4.73814991577603
40,10,60,4.92723696281998
50,10,60,5.13103164806189
60,10,60,5.34785281035934
70,10,60,5.57618111357101
80,10,60,5.81466113919341
90,10,60,6.0620949133256
100,10,60,6.31743045350818
0,20,60,4.43516881600403
10,20,60,4.56417081441952
20,20,60,4.71325898314166
30,20,60,4.8805929438291
40,20,60,5.06436441686077
50,20,60,5.26285175854297
60,20,60,5.47445454271513
70,20,60,5.69771170474007
80,20,60,5.93130736200983
90,20,60,6.17406815617986
100,20,60,6.42495528341626
0,30,60,4.61118938102339
10,30,60,4.73539864260732
20,30,60,4.87925766109701
30,30,60,5.04108446314508
40,30,60,5.219207988572
50,30,60,5.41201937483663
60,30,60,5.61800655228014
70,30,60,5.83577447744002
80,30,60,6.06405409803048
90,30,60,6.30170315695387
100,30,60,6.54770154138892
0,40,60,4.80391869322258
10,40,60,4.92326798050215
20,40,60,5.06179045662741
30,40,60,5.21795935859922
40,40,60,5.39024111996896
50,40,60,5.5771427287669
60,40,60,5.77724544440454
70,40,60,5.98922624843734
80,40,60,6.21186923616964
90,40,60,6.44406936506684
100,40,60,6.68483079655254
0,50,60,5.01142937062332
10,50,60,5.12594938850262
20,50,60,5.25913606521613
30,50,60,5.40961083569289
40,50,60,5.57597425182873
50,50,60,5.75684901162869
60,50,60,5.95091206879632
70,50,60,6.15691648316131
80,50,60,6.37370449055519
90,50,60,6.60021359559262
100,50,60,6.83547747448487
0,60,60,5.23196292844483
10,60,60,5.34175709681424
20,60,60,5.46969138986213
30,60,60,5.61452590532102
40,60,60,5.77498922985419
50,60,60,5.94981699639284
60,60,60,6.13778186305286
70,60,60,6.33771507157733
80,60,60,6.54852049556221
90,60,60,6.76918246580195
100,60,60,6.9987687525782
0,70,60,5.46394272066592
10,70,60,5.5691653639897
20,70,60,5.6919906772964
30,70,60,5.83130646696072
40,70,60,5.98596145786364
50,70,60,6.15479944926415
60,70,60,6.33668684475711
70,70,60,6.53053338545908
80,70,60,6.73530657438067
90,70,60,6.95004066358016
100,70,60,7.17384123201525
0,80,60,5.70597285719425
10,80,60,5.80681143518385
20,80,60,5.92471215020177
30,80,60,6.05867900651102
40,80,60,6.20767192813444
50,80,60,6.37063673842589
60,80,60,6.54653010081197
70,80,60,6.7343390537539
80,80,60,6.93309532915962
90,80,60,7.14188500451646
100,80,60,7.35985422508364
0,90,60,5.95682840625606
10,90,60,6.05348969259249
20,90,60,6.16667596662011
30,90,60,6.29549598669389
40,90,60,6.43901150658158
50,90,60,6.59626340192107
60,90,60,6.76629402076046
70,90,60,6.94816529059697
80,90,60,7.14097257085871
90,90,60,7.34385456230437
100,90,60,7.55599977693376
0,100,60,6.2154408772301
10,100,60,6.30814062106159
20,100,60,6.41683669061742
30,100,60,6.54073163761079
40,100,60,6.67897969892512
50,100,60,6.83070944370254
60,100,60,6.99504363189699
70,100,60,7.17111578084055
80,100,60,7.35808330304301
90,100,60,7.55513735606723
100,100,60,7.76150972851203
0,0,80,4.71854135174082
10,0,80,4.83999641372103
20,0,80,4.98083530181425
30,0,80,5.13946471385765
40,0,80,5.31429176921996
50,0,80,5.50377313250031
60,0,80,5.70644921136496
70,0,80,5.92096518584306
80,0,80,6.14608144139544
90,0,80,6.38067611298267
100,0,80,6.62374217912594
0,10,80,4.83864992790881
10,10,80,4.95716309209171
20,10,80,5.09476407113842
30,10,80,5.24995220756835
40,10,80,5.42121735822894
50,10,80,5.60708652784992
60,10,80,5.80615735565715
70,10,80,6.0171196904108
80,10,80,6.23876732384125
90,10,80,6.47000218667285
100,10,80,6.70983316426689
0,20,80,4.9782181535001
10,20,80,5.09348493475561
20,20,80,5.22749880913893
30,20,80,5.37885871172852
40,20,80,5.54614465229215
50,20,80,5.72796143403411
60,20,80,5.92297105325002
70,20,80,6.12991453673829
80,20,80,6.34762479830175
90,20,80,6.5750324071093
100,20,80,6.81116612271951
0,30,80,5.13565974973481
10,30,80,5.24746928164335
20,30,80,5.37764715100919
30,30,80,5.52489512316262
40,30,80,5.68788762066878
50,30,80,5.86531220575601
60,30,80,6.05590052583808
70,30,80,6.25845007241599
80,30,80,6.47183788897896
90,30,80,6.69502772479291
100,30,80,6.92707218328856
0,40,80,5.30938493316097
10,40,80,5.41761028177748
20,40,80,5.54379438509291
30,40,80,5.68674189895906
40,40,80,5.84522308289321
50,40,80,6.018010848646
